data,ticker,comprado,close,ret
2026-09-11,ENEV3,1,27.36,-0.011561
2026-09-11,ENGI11,1,51.61,-0.00386
2026-09-11,EQTL3,1,39.65,-0.011222
2026-09-11,EZTC3,1,13.09,-0.003805
2026-09-11,FLRY3,1,21.06,0.004771
2026-09-11,GMAT3,1,4.88,0.010352
2026-09-11,GRND3,1,3.74,-0.007958
2026-09-11,HAPV3,0,6.73,-0.080601
2026-09-11,HYPE3,1,22.76,-0.003503
2026-09-11,IGTI11,1,26.07,-0.017339
2026-09-11,IRBR3,1,60.43,0.000331
2026-09-11,ITSA4,1,14.19,0.001411
2026-09-11,ITUB3,1,46.63,0.00539
2026-09-11,ITUB4,1,42.73,0.008973
2026-09-11,JHSF3,1,12.16,0.015025
2026-09-11,KLBN11,1,19.54,-0.001533
2026-09-11,MBRF3,1,17.09,0.008855
2026-09-11,MGLU3,1,5.76,-0.030303
2026-09-11,MOVI3,0,7.98,-0.014815
2026-09-11,MRVE3,1,5.74,0.003497
2026-09-11,MULT3,1,30.07,-0.01053
2026-09-11,ORVR3,0,17.4,-0.013046
2026-09-11,PETR4,1,49.0,-0.002443
2026-09-11,POMO4,0,4.5,-0.017467
2026-09-11,PSSA3,0,50.67,-0.012281
2026-09-11,QUAL3,0,1.52,0.020134
2026-09-11,RAIL3,1,14.83,-0.008027
2026-09-11,RAIZ4,0,0.28,0.0
2026-09-11,RAPT4,1,5.13,0.001953
2026-09-11,RDOR3,1,37.61,-0.011823
2026-09-11,RECV3,1,11.36,-0.029889
2026-09-11,RENT3,0,35.8,-0.027438
2026-09-11,ROXO34,1,12.45,-0.019685
2026-09-11,SBSP3,0,27.04,-0.009161
2026-09-11,SIMH3,1,7.59,-0.038023
2026-09-11,SLCE3,1,17.94,-0.026587
2026-09-11,SMAL11,1,110.83,-0.01309
2026-09-11,SMFT3,0,17.35,-0.024733
2026-09-11,SUZB3,1,47.81,-0.006029
2026-09-11,TAEE11,1,40.73,-0.013563
2026-09-11,TIMS3,0,19.37,-0.0087
2026-09-11,TOTS3,1,32.94,-0.001818
2026-09-11,USIM5,0,7.38,-0.035294
2026-09-11,VALE3,1,78.2,-0.000384
2026-09-11,VAMO3,1,3.27,-0.049419
2026-09-11,VBBR3,1,37.55,-0.018301
2026-09-11,VIVA3,1,22.33,-0.018462
2026-09-11,VIVT3,0,30.27,-0.006238
2026-09-11,WEGE3,1,51.49,-0.013034
2026-09-11,WIZC3,0,7.82,-0.029777
2026-09-11,XPBR31,1,101.5,0.00515
2026-09-11,YDUQ3,1,9.91,-0.017839
2026-09-14,ABEV3,1,15.87,0.016005
2026-09-14,ALOS3,1,28.44,-0.006636
2026-09-14,AURA33,1,147.2,0.002998
2026-09-14,AXIA3,1,55.07,0.004927
2026-09-14,AZZA3,0,15.77,-0.04017
2026-09-14,BBAS3,1,22.12,-0.016452
2026-09-14,BBDC3,1,16.17,-0.009191
2026-09-14,BBDC4,1,18.33,-0.013986
2026-09-14,BBSE3,1,39.77,0.006835
2026-09-14,BEEF3,1,4.08,-0.012107
2026-09-14,BOVA11,1,182.55,-0.007071
2026-09-14,BPAC11,1,60.48,-0.00559
2026-09-14,BRAP4,1,21.64,-0.039929
2026-09-14,BRAV3,0,17.75,-0.029524
2026-09-14,BRSR6,1,14.98,-0.005968
2026-09-14,CEAB3,0,9.35,0.0
2026-09-14,CMIN3,1,6.26,-0.068452
2026-09-14,COGN3,1,2.34,0.004292
2026-09-14,CPLE3,1,15.92,-0.002506
2026-09-14,CSAN3,0,3.61,-0.024324
2026-09-14,CSMG3,0,56.87,0.016443
2026-09-14,CSNA3,1,6.35,-0.046547
2026-09-14,CVCB3,1,1.61,0.0
2026-09-14,CXSE3,1,19.93,0.00555
2026-09-14,CYRE3,1,25.33,-0.024644
2026-09-14,DIRR3,0,10.13,-0.032474
2026-09-14,ECOR3,1,7.84,-0.036855
2026-09-14,EGIE3,1,30.46,-0.009431
2026-09-14,EMBJ3,1,96.52,-0.004333
2026-09-14,ENEV3,1,26.94,-0.015351
2026-09-14,ENGI11,1,51.35,-0.005038
2026-09-14,EQTL3,1,39.48,-0.004288
2026-09-14,EZTC3,1,12.86,-0.017571
2026-09-14,FLRY3,1,21.4,0.016144
2026-09-14,GMAT3,1,4.88,0.0
2026-09-14,GRND3,1,3.76,0.005348
2026-09-14,HAPV3,0,6.72,-0.001486
2026-09-14,HYPE3,1,23.53,0.033831
2026-09-14,IGTI11,1,25.76,-0.011891
2026-09-14,IRBR3,1,61.93,0.024822
2026-09-14,ITSA4,1,14.05,-0.009866
2026-09-14,ITUB3,1,46.25,-0.008149
2026-09-14,ITUB4,1,42.35,-0.008893
2026-09-14,JHSF3,1,11.83,-0.027138
2026-09-14,KLBN11,1,19.22,-0.016377
2026-09-14,MBRF3,1,17.21,0.007022
2026-09-14,MGLU3,1,5.57,-0.032986
2026-09-14,MOVI3,0,7.8,-0.022556
2026-09-14,MRVE3,1,5.55,-0.033101
2026-09-14,MULT3,1,29.83,-0.007981
2026-09-14,ORVR3,0,17.5,0.005747
2026-09-14,PETR4,1,48.92,-0.001633
2026-09-14,POMO4,0,4.43,-0.015556
2026-09-14,PSSA3,0,50.04,-0.012433
2026-09-14,QUAL3,0,1.5,-0.013158
2026-09-14,RAIL3,1,14.54,-0.019555
2026-09-14,RAIZ4,0,0.27,-0.035714
2026-09-14,RAPT4,1,5.04,-0.017544
2026-09-14,RDOR3,1,37.05,-0.01489
2026-09-14,RECV3,1,11.37,0.00088
2026-09-14,RENT3,0,35.59,-0.005866
2026-09-14,ROXO34,1,12.26,-0.015261
2026-09-14,SBSP3,0,26.84,-0.007396
2026-09-14,SIMH3,1,7.52,-0.009223
2026-09-14,SLCE3,1,17.35,-0.032887
2026-09-14,SMAL11,1,110.0,-0.007489
2026-09-14,SMFT3,0,17.09,-0.014986
2026-09-14,SUZB3,1,47.3,-0.010667
2026-09-14,TAEE11,1,40.51,-0.005401
2026-09-14,TIMS3,0,19.6,0.011874
2026-09-14,TOTS3,1,34.37,0.043412
2026-09-14,USIM5,0,7.03,-0.047425
2026-09-14,VALE3,1,75.48,-0.034783
2026-09-14,VAMO3,1,3.24,-0.009174
2026-09-14,VBBR3,1,37.7,0.003995
2026-09-14,VIVA3,1,22.4,0.003135
2026-09-14,VIVT3,0,30.51,0.007929
2026-09-14,WEGE3,1,50.74,-0.014566
2026-09-14,WIZC3,0,7.87,0.006394
2026-09-14,XPBR31,1,101.59,0.000887
2026-09-14,YDUQ3,1,9.92,0.001009
2026-09-15,ABEV3,1,15.73,-0.008822
2026-09-15,ALOS3,1,28.53,0.003165
2026-09-15,AURA33,1,147.46,0.001766
2026-09-15,AXIA3,1,54.94,-0.002361
2026-09-15,AZZA3,0,15.3,-0.029803
2026-09-15,BBAS3,1,22.04,-0.003617
2026-09-15,BBDC3,1,16.09,-0.004947
2026-09-15,BBDC4,1,18.2,-0.007092
2026-09-15,BBSE3,1,40.16,0.009806
2026-09-15,BEEF3,1,4.04,-0.009804
2026-09-15,BOVA11,1,183.89,0.00734
2026-09-15,BPAC11,1,60.2,-0.00463
2026-09-15,BRAP4,1,21.48,-0.007394
2026-09-15,BRAV3,0,17.91,0.009014
2026-09-15,BRSR6,1,15.06,0.005341
2026-09-15,CEAB3,0,9.26,-0.009626
2026-09-15,CMIN3,1,6.2,-0.009585
2026-09-15,COGN3,1,2.39,0.021368
2026-09-15,CPLE3,1,15.94,0.001256
2026-09-15,CSAN3,0,3.54,-0.019391
2026-09-15,CSMG3,0,57.25,0.006682
2026-09-15,CSNA3,1,6.21,-0.022047
2026-09-15,CVCB3,1,1.57,-0.024845
2026-09-15,CXSE3,1,20.17,0.012042
2026-09-15,CYRE3,1,25.9,0.022503
2026-09-15,DIRR3,0,10.27,0.01382
2026-09-15,ECOR3,1,8.09,0.031888
2026-09-15,EGIE3,1,30.52,0.00197
2026-09-15,EMBJ3,1,96.22,-0.003108
2026-09-15,ENEV3,1,26.98,0.001485
2026-09-15,ENGI11,1,51.53,0.003505
2026-09-15,EQTL3,1,39.54,0.00152
2026-09-15,EZTC3,1,13.1,0.018663
2026-09-15,FLRY3,1,21.28,-0.005607
2026-09-15,GMAT3,1,4.85,-0.006148
2026-09-15,GRND3,1,3.71,-0.013298
2026-09-15,HAPV3,0,6.63,-0.013393
2026-09-15,HYPE3,1,23.38,-0.006375
2026-09-15,IGTI11,1,25.85,0.003494
2026-09-15,IRBR3,1,60.97,-0.015501
2026-09-15,ITSA4,1,14.16,0.007829
2026-09-15,ITUB3,1,46.7,0.00973
2026-09-15,ITUB4,1,42.67,0.007556
2026-09-15,JHSF3,1,11.56,-0.022823
2026-09-15,KLBN11,1,19.42,0.010406
2026-09-15,MBRF3,1,17.35,0.008135
2026-09-15,MGLU3,1,5.57,0.0
2026-09-15,MOVI3,0,7.84,0.005128
2026-09-15,MRVE3,1,5.69,0.025225
2026-09-15,MULT3,1,30.19,0.012068
2026-09-15,ORVR3,0,17.08,-0.024
2026-09-15,PETR4,1,50.43,0.030867
2026-09-15,POMO4,0,4.43,0.0
2026-09-15,PSSA3,0,50.45,0.008193
2026-09-15,QUAL3,0,1.59,0.06
2026-09-15,RAIL3,1,14.7,0.011004
2026-09-15,RAIZ4,0,0.27,0.0
2026-09-15,RAPT4,1,5.09,0.009921
2026-09-15,RDOR3,1,36.94,-0.002969
2026-09-15,RECV3,1,11.37,0.0
2026-09-15,RENT3,0,35.68,0.002529
2026-09-15,ROXO34,1,12.14,-0.009788
2026-09-15,SBSP3,0,26.93,0.003353
2026-09-15,SIMH3,1,7.5,-0.00266
2026-09-15,SLCE3,1,17.97,0.035735
2026-09-15,SMAL11,1,110.0,0.0
2026-09-15,SMFT3,0,17.1,0.000585
2026-09-15,SUZB3,1,47.56,0.005497
2026-09-15,TAEE11,1,40.8,0.007159
2026-09-15,TIMS3,0,19.64,0.002041
2026-09-15,TOTS3,1,33.83,-0.015711
2026-09-15,USIM5,0,7.26,0.032717
2026-09-15,VALE3,1,74.6,-0.011659
2026-09-15,VAMO3,1,3.31,0.021605
2026-09-15,VBBR3,1,38.76,0.028117
2026-09-15,VIVA3,1,22.44,0.001786
2026-09-15,VIVT3,0,30.77,0.008522
2026-09-15,WEGE3,1,50.88,0.002759
2026-09-15,WIZC3,0,7.97,0.012706
2026-09-15,XPBR31,1,100.27,-0.012993
2026-09-15,YDUQ3,1,10.15,0.023185
2026-09-16,ABEV3,1,15.63,-0.006357
2026-09-16,ALOS3,1,28.46,-0.002454
2026-09-16,AURA33,1,148.4,0.006375
2026-09-16,AXIA3,1,55.23,0.005279
2026-09-16,AZZA3,0,15.03,-0.017647
2026-09-16,BBAS3,1,22.71,0.030399
2026-09-16,BBDC3,1,16.09,0.0
2026-09-16,BBDC4,1,18.21,0.000549
2026-09-16,BBSE3,1,40.59,0.010707
2026-09-16,BEEF3,1,4.0,-0.009901
2026-09-16,BOVA11,1,,
2026-09-16,BPAC11,1,60.83,0.010465
2026-09-16,BRAP4,0,20.85,-0.02933
2026-09-16,BRAV3,0,17.73,-0.01005
2026-09-16,BRSR6,1,15.09,0.001992
2026-09-16,CEAB3,0,9.22,-0.00432
2026-09-16,CMIN3,1,6.08,-0.019355
2026-09-16,COGN3,1,2.35,-0.016736
2026-09-16,CPLE3,1,16.08,0.008783
2026-09-16,CSAN3,0,3.65,0.031073
2026-09-16,CSMG3,0,56.7,-0.009607
2026-09-16,CSNA3,1,6.46,0.040258
2026-09-16,CVCB3,1,1.53,-0.025478
2026-09-16,CXSE3,1,20.56,0.019336
2026-09-16,CYRE3,1,26.62,0.027799
2026-09-16,DIRR3,0,10.08,-0.018501
2026-09-16,ECOR3,1,8.22,0.016069
2026-09-16,EGIE3,1,30.65,0.004259
2026-09-16,EMBJ3,1,95.29,-0.009665
2026-09-16,ENEV3,1,27.0,0.000741
2026-09-16,ENGI11,1,52.21,0.013196
2026-09-16,EQTL3,1,39.56,0.000506
2026-09-16,EZTC3,1,13.35,0.019084
2026-09-16,FLRY3,1,21.35,0.003289
2026-09-16,GMAT3,1,4.9,0.010309
2026-09-16,GRND3,1,3.7,-0.002695
2026-09-16,HAPV3,0,6.49,-0.021116
2026-09-16,HYPE3,1,23.55,0.007271
2026-09-16,IGTI11,1,25.86,0.000387
2026-09-16,IRBR3,1,60.78,-0.003116
2026-09-16,ITSA4,1,14.2,0.002825
2026-09-16,ITUB3,1,46.67,-0.000642
2026-09-16,ITUB4,1,42.62,-0.001172
2026-09-16,JHSF3,1,11.74,0.015571
2026-09-16,KLBN11,1,19.4,-0.00103
2026-09-16,MBRF3,1,17.01,-0.019597
2026-09-16,MGLU3,1,5.94,0.066427
2026-09-16,MOVI3,1,8.0,0.020408
2026-09-16,MRVE3,1,5.71,0.003515
2026-09-16,MULT3,1,30.06,-0.004306
2026-09-16,ORVR3,0,16.91,-0.009953
2026-09-16,PETR4,1,48.65,-0.035296
2026-09-16,POMO4,0,4.53,0.022573
2026-09-16,PSSA3,0,49.87,-0.011497
2026-09-16,QUAL3,1,1.65,0.037736
2026-09-16,RAIL3,1,14.85,0.010204
2026-09-16,RAIZ4,0,0.28,0.037037
2026-09-16,RAPT4,1,5.09,0.0
2026-09-16,RDOR3,1,37.28,0.009204
2026-09-16,RECV3,1,11.04,-0.029024
2026-09-16,RENT3,0,36.44,0.0213
2026-09-16,ROXO34,0,11.74,-0.032949
2026-09-16,SBSP3,0,27.09,0.005941
2026-09-16,SIMH3,1,7.63,0.017333
2026-09-16,SLCE3,1,17.75,-0.012243
2026-09-16,SMAL11,1,,
2026-09-16,SMFT3,0,17.12,0.00117
2026-09-16,SUZB3,1,46.7,-0.018082
2026-09-16,TAEE11,1,41.05,0.006127
2026-09-16,TIMS3,0,19.58,-0.003055
2026-09-16,TOTS3,1,34.24,0.012119
2026-09-16,USIM5,0,7.03,-0.03168
2026-09-16,VALE3,0,73.0,-0.021448
2026-09-16,VAMO3,1,3.33,0.006042
2026-09-16,VBBR3,1,39.06,0.00774
2026-09-16,VIVA3,1,22.72,0.012478
2026-09-16,VIVT3,0,30.71,-0.00195
2026-09-16,WEGE3,1,51.28,0.007862
2026-09-16,WIZC3,0,7.95,-0.002509
2026-09-16,XPBR31,1,102.36,0.020844
2026-09-16,YDUQ3,1,10.1,-0.004926
